   5.01,10^6bits/s,2.108,1439038458.157
   7.74,10^6bits/s,2.108,1439038460.266
   8.02,10^6bits/s,2.041,1439038462.307
   8.16,10^6bits/s,2.071,1439038464.377
   8.53,10^6bits/s,2.073,1439038466.450
   8.58,10^6bits/s,2.111,1439038468.561
   9.07,10^6bits/s,2.012,1439038470.573
   8.90,10^6bits/s,2.033,1439038472.607
   9.55,10^6bits/s,2.000,1439038474.607
   9.35,10^6bits/s,2.042,1439038476.649
   9.72,10^6bits/s,2.030,1439038478.679
   9.90,10^6bits/s,2.081,1439038480.760
  10.53,10^6bits/s,2.005,1439038482.765
  10.05,10^6bits/s,2.094,1439038484.859
  10.72,10^6bits/s,2.059,1439038486.917
  11.20,10^6bits/s,2.001,1439038488.919
  10.59,10^6bits/s,2.116,1439038491.035
  11.40,10^6bits/s,2.011,1439038493.046
  11.52,10^6bits/s,2.024,1439038495.070
  11.91,10^6bits/s,0.979,1439038496.049
   6.20,10^6bits/s,3.720,1439038500.232
   7.81,10^6bits/s,2.105,1439038502.337
   8.04,10^6bits/s,2.084,1439038504.421
   8.88,10^6bits/s,2.013,1439038506.434
   8.36,10^6bits/s,2.124,1439038508.558
   8.61,10^6bits/s,2.044,1439038510.602
   9.50,10^6bits/s,2.016,1439038512.618
   9.15,10^6bits/s,2.078,1439038514.696
   9.65,10^6bits/s,2.003,1439038516.699
   9.28,10^6bits/s,2.079,1439038518.777
  10.16,10^6bits/s,2.009,1439038520.787
   9.99,10^6bits/s,2.035,1439038522.821
  10.30,10^6bits/s,2.021,1439038524.842
  10.65,10^6bits/s,2.070,1439038526.912
  11.16,10^6bits/s,2.007,1439038528.919
  10.71,10^6bits/s,2.083,1439038531.001
  11.28,10^6bits/s,2.022,1439038533.024
  11.57,10^6bits/s,2.021,1439038535.044
  11.63,10^6bits/s,1.468,1439038536.513
   6.67,10^6bits/s,3.468,1439038540.131
   7.79,10^6bits/s,2.046,1439038542.177
   8.17,10^6bits/s,2.028,1439038544.205
   8.16,10^6bits/s,2.004,1439038546.208
   8.40,10^6bits/s,2.045,1439038548.254
   8.91,10^6bits/s,2.086,1439038550.340
   9.12,10^6bits/s,2.001,1439038552.340
   9.09,10^6bits/s,2.019,1439038554.359
   9.49,10^6bits/s,2.016,1439038556.375
   9.58,10^6bits/s,2.021,1439038558.396
   9.97,10^6bits/s,2.005,1439038560.401
  10.09,10^6bits/s,2.001,1439038562.402
  10.17,10^6bits/s,2.044,1439038564.446
  10.63,10^6bits/s,2.019,1439038566.466
  10.47,10^6bits/s,2.030,1439038568.496
  11.04,10^6bits/s,2.118,1439038570.613
  11.36,10^6bits/s,2.045,1439038572.658
  11.38,10^6bits/s,2.007,1439038574.666
  11.78,10^6bits/s,1.998,1439038576.663
994560,2056824,16384,40.01,9.46,10^6bits/s
