  36.10,10^6bits/s,2.001,1439032893.435
  33.01,10^6bits/s,2.187,1439032895.622
  35.43,10^6bits/s,2.004,1439032897.625
  35.69,10^6bits/s,2.000,1439032899.626
  35.95,10^6bits/s,2.003,1439032901.628
  34.60,10^6bits/s,2.078,1439032903.706
  34.63,10^6bits/s,2.000,1439032905.706
  35.83,10^6bits/s,2.001,1439032907.707
  35.90,10^6bits/s,2.001,1439032909.708
  35.90,10^6bits/s,2.001,1439032911.709
  35.40,10^6bits/s,2.027,1439032913.736
  35.77,10^6bits/s,2.000,1439032915.736
  35.81,10^6bits/s,2.001,1439032917.737
  35.82,10^6bits/s,2.016,1439032919.753
  30.21,10^6bits/s,2.352,1439032922.105
  35.52,10^6bits/s,2.001,1439032924.106
  35.86,10^6bits/s,2.004,1439032926.110
  35.96,10^6bits/s,2.002,1439032928.112
  34.26,10^6bits/s,1.320,1439032929.432
  27.45,10^6bits/s,2.619,1439032932.112
  33.76,10^6bits/s,2.000,1439032934.112
  35.80,10^6bits/s,2.000,1439032936.113
  35.90,10^6bits/s,2.000,1439032938.113
  35.68,10^6bits/s,2.020,1439032940.132
  29.14,10^6bits/s,2.439,1439032942.572
  34.89,10^6bits/s,2.001,1439032944.573
  35.95,10^6bits/s,2.001,1439032946.574
  36.05,10^6bits/s,2.000,1439032948.574
  35.21,10^6bits/s,2.048,1439032950.623
  35.50,10^6bits/s,2.005,1439032952.628
  35.98,10^6bits/s,2.001,1439032954.629
  36.01,10^6bits/s,2.000,1439032956.629
  34.49,10^6bits/s,2.089,1439032958.718
  35.72,10^6bits/s,2.000,1439032960.718
  35.72,10^6bits/s,2.000,1439032962.718
  35.77,10^6bits/s,2.000,1439032964.718
  34.32,10^6bits/s,2.083,1439032966.801
  35.93,10^6bits/s,2.001,1439032968.802
  35.91,10^6bits/s,0.691,1439032969.493
  35.46,10^6bits/s,2.027,1439032971.574
  35.87,10^6bits/s,2.003,1439032973.577
  36.05,10^6bits/s,2.003,1439032975.580
  34.99,10^6bits/s,2.061,1439032977.641
  35.90,10^6bits/s,2.000,1439032979.642
  35.96,10^6bits/s,2.001,1439032981.642
  35.94,10^6bits/s,2.001,1439032983.643
  34.28,10^6bits/s,2.097,1439032985.741
  35.67,10^6bits/s,2.006,1439032987.747
  36.04,10^6bits/s,2.000,1439032989.748
  36.03,10^6bits/s,2.001,1439032991.749
  34.13,10^6bits/s,2.110,1439032993.859
  35.50,10^6bits/s,2.002,1439032995.861
  35.88,10^6bits/s,2.003,1439032997.864
  35.85,10^6bits/s,2.002,1439032999.866
  35.10,10^6bits/s,2.042,1439033001.908
  34.32,10^6bits/s,2.046,1439033003.954
  35.69,10^6bits/s,2.012,1439033005.966
  36.22,10^6bits/s,2.000,1439033007.966
  35.51,10^6bits/s,1.581,1439033009.547
819840,3220280,16384,40.00,35.05,10^6bits/s
