  30.09,10^6bits/s,2.115,1438848372.229
  30.08,10^6bits/s,2.000,1438848374.229
  29.66,10^6bits/s,2.028,1438848376.258
  29.30,10^6bits/s,2.025,1438848378.282
  28.78,10^6bits/s,2.037,1438848380.319
  29.70,10^6bits/s,2.008,1438848382.326
  31.16,10^6bits/s,2.009,1438848384.336
  28.78,10^6bits/s,2.165,1438848386.500
  30.33,10^6bits/s,2.000,1438848388.501
  33.55,10^6bits/s,2.000,1438848390.501
  29.40,10^6bits/s,2.282,1438848392.783
  30.87,10^6bits/s,2.000,1438848394.783
  29.49,10^6bits/s,2.093,1438848396.876
  28.78,10^6bits/s,2.049,1438848398.925
  29.88,10^6bits/s,2.003,1438848400.928
  28.78,10^6bits/s,2.076,1438848403.004
  28.78,10^6bits/s,2.000,1438848405.004
  28.89,10^6bits/s,2.000,1438848407.005
  28.78,10^6bits/s,2.008,1438848409.013
  28.77,10^6bits/s,1.101,1438848410.114
  27.84,10^6bits/s,2.068,1438848412.293
  29.50,10^6bits/s,2.003,1438848414.297
  28.78,10^6bits/s,2.050,1438848416.347
  29.71,10^6bits/s,2.000,1438848418.347
  32.10,10^6bits/s,2.022,1438848420.369
  28.78,10^6bits/s,2.231,1438848422.599
  30.29,10^6bits/s,2.001,1438848424.600
  30.03,10^6bits/s,2.017,1438848426.617
  28.88,10^6bits/s,2.080,1438848428.697
  30.30,10^6bits/s,2.000,1438848430.697
  28.78,10^6bits/s,2.106,1438848432.803
  28.78,10^6bits/s,2.000,1438848434.803
  30.54,10^6bits/s,2.000,1438848436.803
  30.53,10^6bits/s,2.001,1438848438.804
  28.79,10^6bits/s,2.121,1438848440.925
  30.82,10^6bits/s,2.000,1438848442.925
  30.61,10^6bits/s,2.013,1438848444.938
  28.78,10^6bits/s,2.128,1438848447.066
  30.04,10^6bits/s,2.004,1438848449.070
  28.76,10^6bits/s,1.155,1438848450.226
  26.58,10^6bits/s,2.260,1438848452.517
  29.80,10^6bits/s,2.000,1438848454.517
  32.92,10^6bits/s,2.004,1438848456.522
  28.78,10^6bits/s,2.288,1438848458.810
  30.42,10^6bits/s,2.000,1438848460.810
  29.18,10^6bits/s,2.085,1438848462.894
  28.78,10^6bits/s,2.028,1438848464.923
  30.63,10^6bits/s,2.003,1438848466.926
  32.26,10^6bits/s,2.015,1438848468.941
  28.78,10^6bits/s,2.242,1438848471.182
  31.27,10^6bits/s,2.000,1438848473.183
  33.38,10^6bits/s,2.008,1438848475.190
  33.66,10^6bits/s,2.000,1438848477.190
  29.86,10^6bits/s,2.255,1438848479.445
  28.78,10^6bits/s,2.075,1438848481.520
  28.78,10^6bits/s,2.000,1438848483.520
  29.64,10^6bits/s,2.002,1438848485.522
  28.78,10^6bits/s,2.060,1438848487.582
  28.78,10^6bits/s,2.000,1438848489.582
  29.03,10^6bits/s,0.675,1438848490.257
954240,2597000,16384,40.00,29.78,10^6bits/s
