   7.17,10^6bits/s,2.001,1439387062.595
   7.20,10^6bits/s,2.001,1439387064.596
   7.20,10^6bits/s,2.000,1439387066.596
   7.20,10^6bits/s,2.001,1439387068.597
   7.20,10^6bits/s,2.001,1439387070.597
   7.20,10^6bits/s,2.000,1439387072.598
   7.20,10^6bits/s,2.001,1439387074.599
   7.20,10^6bits/s,2.001,1439387076.600
   7.20,10^6bits/s,2.001,1439387078.600
   7.20,10^6bits/s,2.001,1439387080.601
   7.24,10^6bits/s,2.001,1439387082.602
   7.19,10^6bits/s,2.011,1439387084.614
   7.36,10^6bits/s,2.001,1439387086.615
   7.20,10^6bits/s,2.044,1439387088.659
   7.20,10^6bits/s,2.001,1439387090.660
   7.20,10^6bits/s,2.001,1439387092.660
   7.20,10^6bits/s,2.001,1439387094.661
   7.20,10^6bits/s,2.001,1439387096.662
   7.20,10^6bits/s,2.000,1439387098.662
   7.20,10^6bits/s,1.932,1439387100.594
   6.23,10^6bits/s,2.312,1439387102.927
   7.08,10^6bits/s,2.000,1439387104.927
   7.04,10^6bits/s,2.012,1439387106.939
   7.19,10^6bits/s,2.000,1439387108.939
   7.19,10^6bits/s,2.002,1439387110.941
   7.19,10^6bits/s,2.001,1439387112.942
   7.20,10^6bits/s,2.001,1439387114.943
   7.20,10^6bits/s,2.001,1439387116.943
   7.20,10^6bits/s,2.001,1439387118.944
   7.20,10^6bits/s,2.001,1439387120.945
   7.20,10^6bits/s,2.001,1439387122.945
   7.19,10^6bits/s,2.001,1439387124.946
   7.19,10^6bits/s,2.001,1439387126.948
   7.19,10^6bits/s,2.002,1439387128.949
   7.19,10^6bits/s,2.001,1439387130.950
   7.20,10^6bits/s,2.001,1439387132.951
   7.20,10^6bits/s,2.001,1439387134.952
   7.20,10^6bits/s,2.001,1439387136.953
   7.20,10^6bits/s,2.001,1439387138.953
   7.19,10^6bits/s,1.662,1439387140.615
   5.93,10^6bits/s,2.428,1439387143.063
   7.19,10^6bits/s,2.000,1439387145.063
   7.19,10^6bits/s,2.002,1439387147.065
   7.19,10^6bits/s,2.000,1439387149.065
   7.19,10^6bits/s,2.000,1439387151.065
   7.19,10^6bits/s,2.000,1439387153.065
   7.20,10^6bits/s,2.001,1439387155.066
   7.20,10^6bits/s,2.001,1439387157.066
   7.20,10^6bits/s,2.001,1439387159.067
   7.20,10^6bits/s,2.000,1439387161.068
   7.20,10^6bits/s,2.001,1439387163.068
   7.20,10^6bits/s,2.001,1439387165.069
   7.20,10^6bits/s,2.001,1439387167.069
   7.20,10^6bits/s,2.001,1439387169.070
   7.20,10^6bits/s,2.001,1439387171.071
   7.20,10^6bits/s,2.001,1439387173.071
   7.20,10^6bits/s,2.001,1439387175.072
   7.20,10^6bits/s,2.001,1439387177.073
   7.20,10^6bits/s,2.001,1439387179.073
   7.19,10^6bits/s,1.562,1439387180.635
573440,372480,16384,40.00,7.15,10^6bits/s
