  51.02,10^6bits/s,2.010,1439387592.781
  59.54,10^6bits/s,2.000,1439387594.781
  59.63,10^6bits/s,2.001,1439387596.782
  60.06,10^6bits/s,2.005,1439387598.788
  60.35,10^6bits/s,2.003,1439387600.790
  60.98,10^6bits/s,2.002,1439387602.792
  58.20,10^6bits/s,2.095,1439387604.888
  58.95,10^6bits/s,2.001,1439387606.888
  59.45,10^6bits/s,2.002,1439387608.891
  59.80,10^6bits/s,2.001,1439387610.891
  59.70,10^6bits/s,2.045,1439387612.936
  58.30,10^6bits/s,2.038,1439387614.974
  58.05,10^6bits/s,2.009,1439387616.983
  58.92,10^6bits/s,2.001,1439387618.985
  59.63,10^6bits/s,2.003,1439387620.987
  60.09,10^6bits/s,2.002,1439387622.990
  60.42,10^6bits/s,2.001,1439387624.990
  59.28,10^6bits/s,2.039,1439387627.029
  59.38,10^6bits/s,2.000,1439387629.029
  59.70,10^6bits/s,1.742,1439387630.771
  55.55,10^6bits/s,2.137,1439387632.950
  60.08,10^6bits/s,2.004,1439387634.954
  60.41,10^6bits/s,2.000,1439387636.954
  60.43,10^6bits/s,2.000,1439387638.954
  60.93,10^6bits/s,2.000,1439387640.954
  61.32,10^6bits/s,2.002,1439387642.956
  59.07,10^6bits/s,2.076,1439387645.032
  59.18,10^6bits/s,2.005,1439387647.038
  59.72,10^6bits/s,2.002,1439387649.039
  60.22,10^6bits/s,2.002,1439387651.041
  61.01,10^6bits/s,2.001,1439387653.042
  59.90,10^6bits/s,2.037,1439387655.079
  59.13,10^6bits/s,2.026,1439387657.104
  59.50,10^6bits/s,2.000,1439387659.105
  59.97,10^6bits/s,2.003,1439387661.107
  60.48,10^6bits/s,2.003,1439387663.110
  61.01,10^6bits/s,2.002,1439387665.112
  59.09,10^6bits/s,2.065,1439387667.177
  59.49,10^6bits/s,2.000,1439387669.177
  60.34,10^6bits/s,1.636,1439387670.813
  52.50,10^6bits/s,2.267,1439387673.110
  60.29,10^6bits/s,2.000,1439387675.110
  60.39,10^6bits/s,2.006,1439387677.116
  60.79,10^6bits/s,2.000,1439387679.116
  60.89,10^6bits/s,2.000,1439387681.116
  60.61,10^6bits/s,2.009,1439387683.126
  58.92,10^6bits/s,2.057,1439387685.183
  58.97,10^6bits/s,2.005,1439387687.188
  59.26,10^6bits/s,2.003,1439387689.190
  60.15,10^6bits/s,2.000,1439387691.190
  61.48,10^6bits/s,2.000,1439387693.191
  56.27,10^6bits/s,2.185,1439387695.376
  56.92,10^6bits/s,2.001,1439387697.376
  57.99,10^6bits/s,2.002,1439387699.379
  58.49,10^6bits/s,2.003,1439387701.382
  59.58,10^6bits/s,2.000,1439387703.382
  60.55,10^6bits/s,2.005,1439387705.387
  58.33,10^6bits/s,2.076,1439387707.463
  59.36,10^6bits/s,2.000,1439387709.463
  59.90,10^6bits/s,1.381,1439387710.844
1491840,6078464,16384,40.00,59.30,10^6bits/s
