  55.84,10^6bits/s,2.002,1439387837.383
  59.29,10^6bits/s,2.005,1439387839.388
  60.04,10^6bits/s,2.002,1439387841.391
  60.80,10^6bits/s,2.001,1439387843.392
  61.60,10^6bits/s,2.000,1439387845.392
  57.52,10^6bits/s,2.142,1439387847.534
  59.20,10^6bits/s,2.002,1439387849.536
  60.01,10^6bits/s,2.006,1439387851.542
  61.15,10^6bits/s,2.000,1439387853.542
  61.63,10^6bits/s,2.003,1439387855.545
  60.41,10^6bits/s,2.040,1439387857.586
  58.44,10^6bits/s,2.068,1439387859.653
  59.61,10^6bits/s,2.000,1439387861.654
  60.37,10^6bits/s,2.001,1439387863.655
  61.34,10^6bits/s,2.000,1439387865.655
  61.83,10^6bits/s,2.000,1439387867.655
  58.47,10^6bits/s,2.115,1439387869.770
  59.13,10^6bits/s,2.001,1439387871.771
  60.42,10^6bits/s,2.003,1439387873.773
  60.72,10^6bits/s,1.608,1439387875.381
  46.43,10^6bits/s,2.602,1439387878.030
  57.10,10^6bits/s,2.003,1439387880.033
  58.46,10^6bits/s,2.003,1439387882.035
  59.91,10^6bits/s,2.002,1439387884.037
  60.76,10^6bits/s,2.001,1439387886.038
  61.13,10^6bits/s,2.000,1439387888.038
  61.59,10^6bits/s,2.002,1439387890.040
  61.86,10^6bits/s,2.000,1439387892.040
  53.55,10^6bits/s,2.310,1439387894.350
  57.24,10^6bits/s,2.004,1439387896.354
  58.97,10^6bits/s,2.004,1439387898.357
  59.95,10^6bits/s,2.005,1439387900.363
  60.88,10^6bits/s,2.002,1439387902.365
  61.37,10^6bits/s,2.003,1439387904.368
  60.31,10^6bits/s,2.035,1439387906.403
  58.35,10^6bits/s,2.067,1439387908.470
  59.64,10^6bits/s,2.004,1439387910.475
  60.51,10^6bits/s,2.000,1439387912.475
  61.29,10^6bits/s,2.000,1439387914.475
  61.21,10^6bits/s,0.952,1439387915.427
  50.51,10^6bits/s,2.427,1439387917.899
  57.43,10^6bits/s,2.003,1439387919.903
  59.13,10^6bits/s,2.000,1439387921.903
  59.64,10^6bits/s,2.002,1439387923.905
  60.92,10^6bits/s,2.005,1439387925.910
  61.54,10^6bits/s,2.000,1439387927.910
  57.89,10^6bits/s,2.126,1439387930.037
  59.09,10^6bits/s,2.003,1439387932.040
  60.46,10^6bits/s,2.000,1439387934.040
  57.83,10^6bits/s,2.091,1439387936.130
  57.95,10^6bits/s,2.000,1439387938.131
  59.50,10^6bits/s,2.001,1439387940.132
  60.44,10^6bits/s,2.000,1439387942.132
  61.13,10^6bits/s,2.000,1439387944.132
  61.13,10^6bits/s,2.000,1439387946.132
  57.82,10^6bits/s,2.114,1439387948.246
  59.36,10^6bits/s,2.001,1439387950.247
  60.45,10^6bits/s,2.000,1439387952.248
  60.81,10^6bits/s,2.000,1439387954.248
  61.72,10^6bits/s,1.224,1439387955.472
1505280,6291456,16384,40.00,59.23,10^6bits/s
